# Wohnung Kauf from immoscout24.de on 2019-06-18-14-05
ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url
111064040,Wohnung,111064040,Kauf,"Bahrenfeld, Hamburg",true,true,Hamburg,true,001.10941192,false,,62,,2,22761,320000,false,Bahrenfeld,"Sonnige, vermietete Endetagen-Wohnung",https://www.immobilienscout24.de/expose/111064040
111227418,Wohnung,111227418,Kauf,"St. Pauli, Hamburg",true,false,Hamburg,true,001.1213179,false,,110,,3.5,20357,795000,false,St. Pauli,Was für ein Blick: Moderne Loftwohnung mit großer Dachterrasse im Herzen des Karoviertels,https://www.immobilienscout24.de/expose/111227418
111166817,Wohnung,111166817,Kauf,"Ochsenweberstraße 20, Langenhorn, Hamburg",false,false,Hamburg,true,001.12611027,false,53.67185,84.16,10.01292,3,22419,459600,false,Langenhorn,Entspanntes Wohnen auf 2 Etagen! Stilvolle 3-Zimmer-Doppelhaushälfte mit großem Wohn- & Essbereich,https://www.immobilienscout24.de/expose/111166817
111995574,Wohnung,111995574,Kauf,"Hammerbrook, Hamburg",true,true,Hamburg,true,001.76007,false,,83,,3,20097,519000,false,Hammerbrook,"""Wunderbar & wassernah am Mittelkanal"" Moderne 3-Zimmer Wohnung mit TG-Stellplatz in HH-Hammerbrook",https://www.immobilienscout24.de/expose/111995574
110622336,Wohnung,110622336,Kauf,"Poßmoorweg 38, Winterhude, Hamburg",false,false,Hamburg,true,001.5759162,false,53.58686,113,10.0115,4,22301,945000,false,Winterhude,"Cafés, Kanäle, Klasse im Poßmoorweg 38",https://www.immobilienscout24.de/expose/110622336
109389173,Wohnung,109389173,Kauf,"Iserbrook, Hamburg",true,false,Hamburg,true,002.01007987110,false,,104.71,,4,22589,506000,false,Iserbrook,Für die kleine Familie: 4-Zimmer-Wohnung mit großem Balkon,https://www.immobilienscout24.de/expose/109389173
107094070,Wohnung,107094070,Kauf,"Rotherbaum, Hamburg",true,false,Hamburg,true,001.629436,false,,80.04,,2,20146,840000,false,Rotherbaum,Stadtappartement im luxuriösen Moorweidenpalais Nähe Dammtor,https://www.immobilienscout24.de/expose/107094070
110505128,Wohnung,110505128,Kauf,"Julius-Brecht-Straße 7, Osdorf, Hamburg",true,true,Hamburg,true,001.8307274,false,53.56952,33.29,9.86005,1,22609,98000,false,Osdorf,Gute Kapitalanlage - Vermietete 1-Zimmer-Wohnung mit Balkon,https://www.immobilienscout24.de/expose/110505128
111470722,Wohnung,111470722,Kauf,"Alsterdorfer Straße 290, Alsterdorf, Hamburg",false,false,Hamburg,false,001.5759162,false,53.60835,82,10.00956,3,22297,629000,false,Alsterdorf,Großzügig wohnen in Alsterdorf,https://www.immobilienscout24.de/expose/111470722
111996326,Wohnung,111996326,Kauf,"Hummelsbüttel, Hamburg",true,true,Hamburg,true,001.130272,false,,111,,3,22339,379000,false,Hummelsbüttel,+++ Großzügig + Edel + Blick ins Grüne +++,https://www.immobilienscout24.de/expose/111996326
